name,roof_area_m2,potential_kwh_yr,geometry_wkt
Zeughaus,4467.931745950491,786355.9872872864,"POLYGON ((11.407014 47.27054, 11.406854 47.270691, 11.407697 47.271099, 11.407716 47.27118, 11.407746 47.271195, 11.40778 47.271201, 11.407806 47.27119, 11.407829 47.271162, 11.40781 47.271087, 11.408086 47.270825, 11.40718 47.270385, 11.407014 47.27054), (11.407958 47.27088, 11.407801 47.271028, 11.407582 47.270923, 11.406981 47.270634, 11.407058 47.270561, 11.407143 47.270482, 11.407958 47.27088))"
Hofburg,11067.063267624171,1947803.1351018546,"POLYGON ((11.394529 47.268566, 11.394049 47.268591, 11.394057 47.268738, 11.394032 47.268738, 11.394035 47.268792, 11.394036 47.268887, 11.393986 47.268889, 11.393986 47.268944, 11.394199 47.268945, 11.394199 47.268983, 11.394269 47.268982, 11.394275 47.269025, 11.394282 47.269078, 11.394204 47.269077, 11.394155 47.269076, 11.394158 47.269168, 11.394398 47.269169, 11.394398 47.269197, 11.394513 47.269195, 11.394596 47.269193, 11.394634 47.269192, 11.394636 47.269238, 11.39464 47.269292, 11.394618 47.269292, 11.39462 47.269411, 11.394648 47.269411, 11.39464 47.269503, 11.394636 47.269564, 11.394545 47.269572, 11.394567 47.269678, 11.394626 47.269676, 11.39467 47.269726, 11.394763 47.269671, 11.394763 47.269725, 11.394808 47.269724, 11.394834 47.269835, 11.394906 47.269828, 11.394871 47.269653, 11.394886 47.269653, 11.394916 47.269683, 11.394968 47.269698, 11.395025 47.269683, 11.395044 47.269642, 11.395028 47.269605, 11.394999 47.269584, 11.395026 47.269344, 11.395026 47.26931, 11.395024 47.269277, 11.395008 47.2689, 11.395006 47.268873, 11.395004 47.26885, 11.394975 47.26857, 11.394923 47.268556, 11.394905 47.268544, 11.394789 47.268553, 11.394529 47.268566), (11.394423 47.269025, 11.394418 47.26898, 11.394396 47.268979, 11.394372 47.268754, 11.394394 47.26875, 11.394392 47.268701, 11.394543 47.268695, 11.394762 47.268685, 11.39478 47.268879, 11.394801 47.269094, 11.394586 47.269094, 11.394429 47.269094, 11.394423 47.269025), (11.394793 47.269349, 11.394739 47.26935, 11.394737 47.2693, 11.394734 47.269199, 11.394788 47.269198, 11.394791 47.269307, 11.394793 47.269349))"
Tivoli Stadion Tirol,34444.56543388073,6062243.516363009,"POLYGON ((11.411779 47.256879, 11.412205 47.256477, 11.412307 47.256145, 11.412454 47.25567, 11.411971 47.255342, 11.411942 47.255337, 11.411556 47.255281, 11.410565 47.255135, 11.410447 47.255467, 11.410353 47.255448, 11.410255 47.255732, 11.410167 47.256025, 11.410121 47.256311, 11.410175 47.256314, 11.410078 47.256632, 11.411779 47.256879), (11.410795 47.255404, 11.411847 47.255554, 11.411521 47.256612, 11.410469 47.256463, 11.410795 47.255404))"
Landesgericht Innsbruck Neubau,5288.478240976727,930772.170411904,"POLYGON ((11.392266 47.262701, 11.392021 47.262668, 11.392043 47.26259, 11.391765 47.262553, 11.391743 47.262631, 11.391373 47.262582, 11.391285 47.262571, 11.391208 47.262839, 11.391683 47.262902, 11.391672 47.26294, 11.391651 47.263013, 11.39177 47.263029, 11.391791 47.262957, 11.391837 47.262963, 11.391848 47.262923, 11.392188 47.262968, 11.392266 47.262701), (11.391406 47.262729, 11.391426 47.262663, 11.391668 47.262696, 11.391648 47.262763, 11.391406 47.262729), (11.392028 47.262748, 11.392104 47.262758, 11.392087 47.26282, 11.39201 47.26281, 11.392028 47.262748))"
Landesgericht Innsbruck Altbau,5639.8463423055055,992612.956245769,"POLYGON ((11.391428 47.263407, 11.391424 47.263419, 11.39155 47.263435, 11.391674 47.263452, 11.391678 47.263439, 11.392048 47.263488, 11.392176 47.263047, 11.392033 47.263028, 11.392023 47.263063, 11.39177 47.263029, 11.391651 47.263013, 11.391317 47.262969, 11.391331 47.26292, 11.39119 47.262902, 11.391121 47.263141, 11.391058 47.263358, 11.391428 47.263407), (11.391286 47.263064, 11.391459 47.263086, 11.39145 47.263117, 11.39152 47.263126, 11.391518 47.263134, 11.39174 47.263163, 11.391742 47.263154, 11.391812 47.263163, 11.39182 47.263136, 11.391995 47.263159, 11.391935 47.263368, 11.391704 47.263337, 11.391722 47.263271, 11.391476 47.263239, 11.391457 47.263305, 11.391226 47.263274, 11.391286 47.263064))"
,2616.0801957383233,460430.11444994493,"POLYGON ((11.398759 47.273355, 11.398766 47.273453, 11.398886 47.273448, 11.398906 47.273633, 11.39891 47.273687, 11.399029 47.27368, 11.39907 47.273677, 11.399072 47.27369, 11.399247 47.273679, 11.399245 47.273666, 11.39941 47.273655, 11.399381 47.273392, 11.399377 47.273355, 11.399374 47.27333, 11.399224 47.273336, 11.399225 47.273353, 11.399189 47.273355, 11.399194 47.273418, 11.399067 47.273423, 11.399062 47.273361, 11.399015 47.273363, 11.399013 47.273344, 11.398759 47.273355), (11.399053 47.273466, 11.399059 47.273517, 11.399219 47.273508, 11.399214 47.273458, 11.399268 47.273454, 11.399284 47.273579, 11.399021 47.273594, 11.399006 47.273468, 11.399053 47.273466))"
Alters- und Pflegeheim Saggen,6633.361793617048,1167471.6756766005,"POLYGON ((11.40987 47.275644, 11.409834 47.275667, 11.409943 47.275744, 11.409852 47.275804, 11.410152 47.276012, 11.410252 47.275946, 11.410359 47.27602, 11.410386 47.276003, 11.410524 47.276099, 11.410634 47.276027, 11.410652 47.27604, 11.410857 47.275905, 11.410521 47.275671, 11.410545 47.275655, 11.410415 47.275565, 11.410391 47.27558, 11.410221 47.275462, 11.410044 47.275339, 11.40973 47.275546, 11.40987 47.275644), (11.410113 47.275527, 11.410004 47.275598, 11.409935 47.275549, 11.410044 47.275479, 11.410113 47.275527), (11.410249 47.275624, 11.410141 47.275694, 11.410058 47.275634, 11.410166 47.275565, 11.410249 47.275624), (11.410438 47.275757, 11.410536 47.275826, 11.410431 47.275894, 11.410334 47.275826, 11.410438 47.275757), (11.410479 47.275927, 11.410583 47.275859, 11.410641 47.275901, 11.410605 47.275924, 11.410616 47.275932, 11.410548 47.275976, 11.410479 47.275927))"
Wohnheim Tivoli,4304.603909712375,757610.288109378,"POLYGON ((11.405982 47.259561, 11.406046 47.25957, 11.406187 47.259107, 11.406076 47.259092, 11.405612 47.259027, 11.405572 47.259158, 11.405472 47.25949, 11.405982 47.259561), (11.405812 47.259172, 11.406014 47.2592, 11.405954 47.259396, 11.405752 47.259368, 11.405812 47.259172))"
Universitätshauptgebäude,9623.1215901792,1693669.3998715393,"POLYGON ((11.384764 47.263391, 11.384772 47.263398, 11.384927 47.263311, 11.384575 47.263022, 11.384637 47.262987, 11.384595 47.262953, 11.384606 47.262947, 11.384542 47.262894, 11.384475 47.26284, 11.384463 47.262847, 11.384418 47.26281, 11.384363 47.262841, 11.38432 47.262806, 11.384304 47.262792, 11.384231 47.262733, 11.384083 47.262611, 11.384074 47.262616, 11.384011 47.262564, 11.38387 47.262642, 11.383884 47.262653, 11.383781 47.262712, 11.383764 47.26272, 11.383748 47.26273, 11.383522 47.262856, 11.383609 47.262927, 11.383618 47.262934, 11.383626 47.262942, 11.38367 47.262977, 11.383657 47.262984, 11.384264 47.263482, 11.384401 47.263595, 11.384764 47.263391), (11.384204 47.262913, 11.383986 47.26304, 11.383973 47.26303, 11.383967 47.263034, 11.383784 47.262889, 11.383824 47.262866, 11.383815 47.262859, 11.383871 47.262826, 11.383858 47.262815, 11.383958 47.262757, 11.383971 47.262767, 11.384006 47.262746, 11.384081 47.262806, 11.384053 47.262822, 11.384133 47.262885, 11.384154 47.262873, 11.384204 47.262913), (11.384186 47.263172, 11.384327 47.263092, 11.384397 47.263149, 11.384445 47.263122, 11.384503 47.26317, 11.384477 47.263184, 11.384559 47.26325, 11.384583 47.263236, 11.384637 47.26328, 11.384438 47.263394, 11.384396 47.263359, 11.384365 47.263377, 11.384204 47.263246, 11.384217 47.263239, 11.384204 47.263228, 11.384234 47.263211, 11.384186 47.263172))"
,5371.856735737917,945446.7854898735,"POLYGON ((11.391934 47.270684, 11.391704 47.270758, 11.391694 47.270761, 11.391914 47.271076, 11.392127 47.271383, 11.392137 47.27138, 11.39235 47.271312, 11.392597 47.271233, 11.392165 47.270611, 11.391934 47.270684), (11.39204 47.270852, 11.392127 47.270824, 11.392232 47.270976, 11.392328 47.271114, 11.392239 47.271142, 11.392148 47.271171, 11.392048 47.271025, 11.391948 47.270881, 11.39204 47.270852))"
