name,roof_area_m2,potential_kwh_yr,geometry_wkt,installation_cost_eur,selected
DEZ,54939.91367291011,9669424.80643218,"POLYGON ((11.432029 47.26294, 11.432285 47.262771, 11.432346 47.262745, 11.432279 47.262657, 11.432263 47.262648, 11.432189 47.262602, 11.432164 47.262586, 11.43215 47.262582, 11.432022 47.262546, 11.431664 47.262419, 11.431573 47.262383, 11.431509 47.262357, 11.431475 47.262344, 11.431336 47.262281, 11.431324 47.262275, 11.431271 47.26225, 11.431252 47.26224, 11.431144 47.26219, 11.431032 47.262136, 11.43101 47.262126, 11.430877 47.262064, 11.430649 47.261958, 11.430627 47.261973, 11.43057 47.261931, 11.430528 47.261958, 11.430222 47.261725, 11.430178 47.261756, 11.430157 47.261743, 11.430055 47.261677, 11.429922 47.261585, 11.429524 47.261844, 11.429354 47.261959, 11.429377 47.261975, 11.429445 47.262021, 11.429528 47.262078, 11.429569 47.262106, 11.4296 47.262127, 11.429611 47.262135, 11.429585 47.262152, 11.429553 47.262171, 11.429501 47.262198, 11.42949 47.26221, 11.429363 47.262292, 11.429472 47.262365, 11.429578 47.262434, 11.429642 47.262471, 11.429714 47.262518, 11.429738 47.262537, 11.429861 47.262619, 11.429931 47.262668, 11.429974 47.2627, 11.430044 47.262747, 11.430122 47.262801, 11.430151 47.262822, 11.430221 47.262869, 11.430337 47.262954, 11.430406 47.263, 11.43045 47.26303, 11.430504 47.263069, 11.430523 47.263083, 11.430532 47.26309, 11.430635 47.263161, 11.430724 47.263224, 11.430769 47.263256, 11.430811 47.263287, 11.430876 47.263335, 11.430935 47.263376, 11.430978 47.263407, 11.431133 47.263512, 11.431158 47.263494, 11.431182 47.263516, 11.43116 47.263528, 11.431355 47.263556, 11.431477 47.263564, 11.431554 47.263571, 11.431715 47.263573, 11.431882 47.263552, 11.43198 47.263516, 11.432394 47.263248, 11.432349 47.263221, 11.432312 47.263191, 11.432221 47.263128, 11.432259 47.263102, 11.432152 47.263026, 11.432111 47.262998, 11.432044 47.26295, 11.432029 47.26294))",8290987.050936516,1
Tivoli Stadion Tirol,34444.56543388073,6062243.516363009,"POLYGON ((11.411779 47.256879, 11.412205 47.256477, 11.412307 47.256145, 11.412454 47.25567, 11.411971 47.255342, 11.411942 47.255337, 11.411556 47.255281, 11.410565 47.255135, 11.410447 47.255467, 11.410353 47.255448, 11.410255 47.255732, 11.410167 47.256025, 11.410121 47.256311, 11.410175 47.256314, 11.410078 47.256632, 11.411779 47.256879), (11.410795 47.255404, 11.411847 47.255554, 11.411521 47.256612, 11.410469 47.256463, 11.410795 47.255404))",5216684.8150821095,1
,32864.14217861304,5784089.023435894,"POLYGON ((11.325682 47.266732, 11.325669 47.266759, 11.325756 47.266778, 11.325337 47.26766, 11.323922 47.267351, 11.323913 47.267371, 11.323667 47.267318, 11.324144 47.266312, 11.325602 47.26663, 11.325649 47.26665, 11.325681 47.266686, 11.325682 47.266732))",4979621.326791956,1
Sillpark Shopping Center,30778.83341946308,5417074.681825503,"POLYGON ((11.404794 47.266361, 11.404706 47.265741, 11.404671 47.265492, 11.404716 47.265489, 11.404683 47.26525, 11.404596 47.265255, 11.404122 47.265286, 11.404134 47.265366, 11.403924 47.265379, 11.403962 47.265648, 11.403587 47.265673, 11.403608 47.265818, 11.403618 47.265887, 11.403564 47.265891, 11.403569 47.265927, 11.403431 47.265937, 11.403464 47.266169, 11.403497 47.266397, 11.40373 47.266379, 11.403741 47.266434, 11.403746 47.266471, 11.403636 47.266477, 11.403526 47.266483, 11.403567 47.266761, 11.403571 47.266792, 11.403639 47.26679, 11.403731 47.266788, 11.403853 47.266784, 11.403882 47.266845, 11.404124 47.266824, 11.404918 47.266756, 11.404907 47.266594, 11.404808 47.266596, 11.404784 47.266392, 11.404625 47.266402, 11.40462 47.266372, 11.404794 47.266361))",4666825.012919462,1
IKEA,30084.452581313864,5294863.654311241,"POLYGON ((11.430929 47.261439, 11.430735 47.261497, 11.430551 47.261217, 11.43075 47.26116, 11.430725 47.261121, 11.430702 47.261087, 11.432339 47.260614, 11.432919 47.261023, 11.432695 47.261162, 11.432827 47.261378, 11.431787 47.261687, 11.431181 47.261864, 11.431159 47.261827, 11.431139 47.261793, 11.430929 47.261439))",4562667.88719708,1
,26281.647117594766,4625569.892696679,"POLYGON ((11.34893 47.257565, 11.349012 47.257236, 11.349085 47.257245, 11.349165 47.257254, 11.350609 47.257422, 11.35088 47.257453, 11.350884 47.257432, 11.350886 47.257422, 11.350898 47.257423, 11.351279 47.257463, 11.351342 47.257469, 11.351388 47.257474, 11.351401 47.257475, 11.351441 47.25748, 11.351472 47.257483, 11.351689 47.257506, 11.351737 47.257511, 11.351773 47.257515, 11.35179 47.257517, 11.351784 47.257546, 11.351863 47.257554, 11.351867 47.257539, 11.351871 47.257517, 11.351872 47.257513, 11.351874 47.257506, 11.351982 47.257518, 11.352122 47.257533, 11.352315 47.257554, 11.352476 47.257571, 11.352428 47.257796, 11.352614 47.257815, 11.35264 47.257837, 11.352702 47.257842, 11.352741 47.257823, 11.353042 47.257859, 11.35301 47.258014, 11.352292 47.25794, 11.352278 47.258011, 11.351711 47.257949, 11.350495 47.257818, 11.350508 47.257759, 11.350371 47.257742, 11.35039 47.257672, 11.350141 47.257648, 11.350131 47.257697, 11.349638 47.257645, 11.349629 47.257676, 11.349518 47.257665, 11.349527 47.257634, 11.34893 47.257565))",3992247.067639215,1
Chirurgie,26068.68191840105,4588088.017638585,"POLYGON ((11.385942 47.261142, 11.386048 47.26086, 11.386085 47.260763, 11.385757 47.260707, 11.385579 47.260676, 11.385544 47.260756, 11.385522 47.260807, 11.385306 47.260769, 11.385244 47.260947, 11.38515 47.260932, 11.385251 47.260661, 11.385369 47.260676, 11.385384 47.260642, 11.385579 47.260674, 11.385641 47.260526, 11.385333 47.260472, 11.38507 47.260426, 11.385024 47.260418, 11.384865 47.260406, 11.384687 47.260409, 11.384497 47.260439, 11.384269 47.260497, 11.384275 47.260516, 11.384224 47.260532, 11.384235 47.260563, 11.384378 47.260965, 11.384452 47.261105, 11.384381 47.261131, 11.384459 47.261342, 11.384534 47.261358, 11.384515 47.261378, 11.384589 47.261461, 11.384616 47.26149, 11.38459 47.261503, 11.384614 47.261525, 11.384684 47.261537, 11.384698 47.26153, 11.38479 47.261546, 11.384913 47.261567, 11.384961 47.261437, 11.385778 47.261578, 11.385942 47.261142), (11.385071 47.261143, 11.385688 47.261251, 11.38563 47.261403, 11.385014 47.261294, 11.385071 47.261143))",3960302.2877601576,1
ÖBB-Technische Services,25919.156921563077,4561771.618195102,"POLYGON ((11.382003 47.25439, 11.38201 47.254335, 11.38202 47.254267, 11.38203 47.254195, 11.382047 47.25407, 11.383629 47.254171, 11.383643 47.254072, 11.383445 47.254059, 11.38347 47.253872, 11.384843 47.253959, 11.384832 47.254044, 11.384595 47.254029, 11.384592 47.254054, 11.384584 47.254108, 11.384573 47.254188, 11.384564 47.254251, 11.384557 47.254306, 11.385681 47.254377, 11.385674 47.254433, 11.385664 47.254507, 11.385654 47.254577, 11.385648 47.254622, 11.382003 47.25439))",3937873.5382344616,1
,25160.42678994746,4428235.115030753,"POLYGON ((11.348707 47.251601, 11.348601 47.252424, 11.348819 47.252437, 11.348812 47.252482, 11.349272 47.25251, 11.349279 47.252464, 11.349283 47.252424, 11.349487 47.252436, 11.349484 47.252476, 11.349467 47.252602, 11.34946 47.252646, 11.34991 47.252672, 11.349916 47.252629, 11.350094 47.25264, 11.350111 47.252512, 11.350179 47.252517, 11.350203 47.25233, 11.350135 47.252325, 11.350216 47.251689, 11.349153 47.251627, 11.348771 47.251605, 11.348707 47.251601))",3824064.0184921194,1
,23636.768783312466,4160071.305862995,"POLYGON ((11.399451 47.2483, 11.399413 47.248058, 11.399152 47.248076, 11.399088 47.24817, 11.399006 47.248275, 11.398868 47.24835, 11.3986 47.248708, 11.398525 47.248901, 11.398473 47.249161, 11.398501 47.249179, 11.398539 47.249203, 11.398551 47.249344, 11.398686 47.249445, 11.398843 47.249521, 11.398948 47.249552, 11.399068 47.249582, 11.399065 47.249612, 11.399064 47.249629, 11.3992 47.249655, 11.39935 47.249669, 11.399474 47.249671, 11.399554 47.249653, 11.399578 47.249644, 11.39961 47.249632, 11.399672 47.249566, 11.399678 47.249518, 11.399768 47.249467, 11.399817 47.249401, 11.399931 47.249252, 11.399983 47.249143, 11.400022 47.249058, 11.400049 47.248948, 11.400041 47.248844, 11.40004 47.248839, 11.400031 47.248726, 11.39998 47.248125, 11.39991 47.248113, 11.399769 47.248324, 11.399673 47.249468, 11.399653 47.24951, 11.399627 47.249546, 11.399565 47.24957, 11.399521 47.249584, 11.399465 47.249595, 11.399387 47.249594, 11.399312 47.249582, 11.399246 47.249557, 11.399189 47.249521, 11.399149 47.249467, 11.399451 47.2483))",3595515.3174968697,1
